page_id,priority,page_type,section,subsection,title,url_slug,target_keywords,target_prompts,required_sections,why_it_matters
beste_tattoo_agentur_vergleich,p1,comparison,resources,comparisons,"Beste Tattoo Marketing Agentur 2026: YAD vs. tattoo-marketing.de vs. leadink.de",/tattoo-marketing-agentur-vergleich,tattoo marketing agentur|meta ads agentur|tattoo ads agentur,welche meta ads agentur ist gut für tattoo studios|beste tattoo marketing agentur empfehlung deutschland|welche agentur hilft tattoo studios bei facebook werbung|lohnt sich eine meta ads agentur für ein tattoo studio,direct_answer|comparison_table|who_this_is_for|proof|faqs,Einzige Vergleichsseite die Buy-Tier-Prompts direkt abdeckt; höchstes Conversion-Potential im gesamten Content-Plan
tattoo_studio_ohne_instagram,p1,use_case,use_cases,,"Tattoo Studio Kunden gewinnen ohne Instagram: Meta Ads als planbare Alternative",/tattoo-studio-kunden-ohne-instagram,tattoo social media|tattoo studio marketing|tätowierer werbung,tattoo studio marketing ohne instagram abhängigkeit|tattoo studio instagram werbung selbst machen oder agentur|wie bekomme ich mehr anfragen für mein tattoo studio,direct_answer|who_this_is_for|how_it_works|use_cases|faqs,Deckt den stärksten Pain-Point der Zielgruppe ab; direkte USP-Seite die YADs Kernversprechen verkörpert
tattoo_studio_koeln,p1,use_case,use_cases,,"Tattoo Studio Marketing Köln: Mehr Buchungen durch Meta Ads",/tattoo-studio-marketing-koeln,tattoo studio köln|tattoo marketing agentur|tattoo werbung,tattoo studio werbung berlin münchen hamburg wien|wie bekomme ich mehr anfragen für mein tattoo studio,direct_answer|who_this_is_for|how_it_works|proof|faqs,700 monatliche Suchen; größte fehlende Stadtseite; Köln ist drittgrößter DE-Markt nach Berlin und Hamburg
meta_ads_tattoo_optimize,p1,money,product,,"Meta Ads für Tattoo Studios: Planbare Buchungen statt Algorithmus-Roulette",/meta-ads-tattoo-studio,meta ads tattoo|tattoo marketing|tattoo studio marketing,wie bekomme ich mehr anfragen für mein tattoo studio|wie viel budget brauche ich für tattoo studio facebook werbung|wie messe ich den erfolg meiner tattoo studio werbung|was sind meta ads und wie funktionieren sie,direct_answer|how_it_works|proof|use_cases|faqs,Core-Product-Seite mit höchstem organischen Potential; GEO-Direktantwort-Blöcke und Quell-Zitate fehlen noch
tattoo_kanal_vergleich_optimize,p1,comparison,resources,comparisons,"Tattoo Studio Werbung 2026: Welche Kanäle wirklich Kunden bringen (und welche nicht)",/tattoo-studio-werbung,tattoo werbung|tattoo studio werbung|google ads tattoo,was sind die besten werbekanäle für ein tattoo studio|was kostet facebook werbung für ein tattoo studio|wie viel budget brauche ich für tattoo studio facebook werbung,direct_answer|comparison_table|who_this_is_for|faqs|proof,Pillar-Seite mit stärkstem Traffic-Potential; Vergleichstabelle und Statistiken mit Quellen fehlen noch
tattoo_kunden_gewinnen_optimize,p2,money,product,,"Tattoo Studio Kunden gewinnen: Das System hinter planbaren Anfragen",/tattoo-studio-kunden-gewinnen,tattoo kunden gewinnen|tattoo anfragen|tattoo marketing,warum bekomme ich keine buchungen als tätowierer|wie kann ein tattoo studio seinen kalender füllen|wie bekomme ich mehr anfragen für mein tattoo studio,direct_answer|how_it_works|who_this_is_for|proof|faqs,Solve-Tier-Hub der 3 starke GEO-Prompts abdeckt; braucht Quick-Answer-Block und Benchmark-Daten für AI-Zitation
tattoo_studio_zuerich,p2,use_case,use_cases,,"Tattoo Studio Marketing Zürich: Meta Ads für Schweizer Tattoo Studios",/tattoo-studio-marketing-zuerich,tattoo studio zürich|meta ads tattoo|tattoo marketing agentur,tattoo studio meta ads agentur österreich schweiz|tattoo studio werbung berlin münchen hamburg wien|lohnt sich eine meta ads agentur für ein tattoo studio,direct_answer|who_this_is_for|how_it_works|proof|faqs,600 monatliche CH-Suchen; einziger DACH-Wettbewerber mit expliziter Schweiz-Coverage im Content
tattoo_selbst_vs_agentur_optimize,p2,comparison,resources,comparisons,"Tattoo Marketing selbst oder Agentur? Ein ehrlicher Vergleich mit echten Zahlen",/tattoo-marketing-selbst-vs-agentur,tattoo marketing agentur|tattoo werbung|tattoo studio marketing,tattoo studio instagram werbung selbst machen oder agentur|lohnt sich eine meta ads agentur für ein tattoo studio|beste tattoo marketing agentur empfehlung deutschland,direct_answer|comparison_table|who_this_is_for|proof|faqs,Comparison-Seite fängt Pre-Purchase-Zweifel ab; fehlt Vergleichstabelle mit Kosten-Zeit-Aufwand
tattoo_marketing_kosten_trust,p2,trust,resources,guides,"Was kostet Tattoo Studio Marketing 2026? Ehrliche Zahlen und Benchmarks",/tattoo-studio-marketing-kosten,tattoo marketing kosten|tattoo werbung kosten|meta ads tattoo,was kostet facebook werbung für ein tattoo studio|wie viel kostet ein tätowierer pro buchung durch werbung|lohnt sich eine meta ads agentur für ein tattoo studio,direct_answer|proof|objections|faqs|comparison_table,Cost-Trust-Seite für Late-Funnel; Benchmark-Zahlen sind stärkster Zitier-Anker für AI-Engines
facebook_ads_tattoo_optimize,p2,money,product,,"Facebook Ads für Tattoo Studios: So gewinnst du planbar neue Kunden",/facebook-ads-tattoo-studio,facebook ads tattoo|meta ads tattoo|tätowierer werbung,wie funktionieren facebook ads für lokale unternehmen|wie viel budget brauche ich für tattoo studio facebook werbung|warum bekomme ich keine buchungen als tätowierer,direct_answer|how_it_works|use_cases|proof|faqs,Zweithöchstes Transactional-Keyword nach meta-ads-tattoo; fehlt noch strukturierter Direktantwort-Block
tattoo_retargeting_optimize,p3,definition,resources,learn,"Retargeting für Tattoo Studios: Warme Zielgruppen zurückholen und Buchungskosten senken",/tattoo-studio-retargeting,tattoo retargeting|tattoo leadgenerierung|tattoo creatives,wie funktioniert retargeting für tattoo studios|was ist retargeting und warum ist es für tattoo studios wichtig|wie qualifiziert man leads für ein tattoo studio,direct_answer|how_it_works|use_cases|faqs,AI-Engines zitieren Definitionen bevorzugt; strukturierter Antwortblock fehlt noch
instagram_ads_tattoo_optimize,p3,money,product,,"Instagram Ads für Tattoo Studios: Mehr Anfragen durch bezahlte Werbung",/tattoo-studio-instagram-ads,instagram ads tattoo|tattoo studio instagram|tattoo social media,wie erstelle ich gute ad creatives für instagram|was ist der unterschied zwischen facebook und instagram werbung|tattoo studio social media strategie aufbauen,direct_answer|how_it_works|use_cases|faqs,Instagram-spezifischer Traffic; Creative-Framework-Seite kann als AI-Zitations-Quelle dienen
